"","dates","year","kat_heigt","day","kat_interpolated","month"
"1",2018-01-01,"2018",1.226157341,1,TRUE,1
"2",2018-01-02,"2018",1.226157341,2,TRUE,1
"3",2018-01-03,"2018",1.226157341,3,TRUE,1
"4",2018-01-04,"2018",1.226157341,4,TRUE,1
"5",2018-01-05,"2018",1.226157341,5,TRUE,1
"6",2018-01-06,"2018",1.226157341,6,TRUE,1
"7",2018-01-07,"2018",1.226157341,7,TRUE,1
"8",2018-01-08,"2018",1.226157341,8,TRUE,1
"9",2018-01-09,"2018",1.226157341,9,TRUE,1
"10",2018-01-10,"2018",1.226157341,10,TRUE,1
"11",2018-01-11,"2018",1.226157341,11,TRUE,1
"12",2018-01-12,"2018",1.226157341,12,FALSE,1
"13",2018-01-13,"2018",1.25842469852632,13,TRUE,1
"14",2018-01-14,"2018",1.29069205605263,14,TRUE,1
"15",2018-01-15,"2018",1.32295941357895,15,TRUE,1
"16",2018-01-16,"2018",1.35522677110526,16,TRUE,1
"17",2018-01-17,"2018",1.38749412863158,17,TRUE,1
"18",2018-01-18,"2018",1.41976148615789,18,TRUE,1
"19",2018-01-19,"2018",1.45202884368421,19,TRUE,1
"20",2018-01-20,"2018",1.48429620121053,20,TRUE,1
"21",2018-01-21,"2018",1.51656355873684,21,TRUE,1
"22",2018-01-22,"2018",1.54883091626316,22,TRUE,1
"23",2018-01-23,"2018",1.58109827378947,23,TRUE,1
"24",2018-01-24,"2018",1.61336563131579,24,TRUE,1
"25",2018-01-25,"2018",1.64563298884211,25,TRUE,1
"26",2018-01-26,"2018",1.67790034636842,26,TRUE,1
"27",2018-01-27,"2018",1.71016770389474,27,TRUE,1
"28",2018-01-28,"2018",1.74243506142105,28,TRUE,1
"29",2018-01-29,"2018",1.77470241894737,29,TRUE,1
"30",2018-01-30,"2018",1.80696977647368,30,TRUE,1
"31",2018-01-31,"2018",1.839237134,31,FALSE,1
"32",2018-02-01,"2018",1.95095367666667,1,TRUE,2
"33",2018-02-02,"2018",2.06267021933333,2,TRUE,2
"34",2018-02-03,"2018",2.174386762,3,TRUE,2
"35",2018-02-04,"2018",2.28610330466667,4,TRUE,2
"36",2018-02-05,"2018",2.39781984733333,5,TRUE,2
"37",2018-02-06,"2018",2.50953639,6,TRUE,2
"38",2018-02-07,"2018",2.62125293266667,7,TRUE,2
"39",2018-02-08,"2018",2.73296947533333,8,TRUE,2
"40",2018-02-09,"2018",2.844686018,9,FALSE,2
"41",2018-02-10,"2018",3.0163481505,10,TRUE,2
"42",2018-02-11,"2018",3.188010283,11,TRUE,2
"43",2018-02-12,"2018",3.3596724155,12,TRUE,2
"44",2018-02-13,"2018",3.531334548,13,TRUE,2
"45",2018-02-14,"2018",3.7029966805,14,TRUE,2
"46",2018-02-15,"2018",3.874658813,15,FALSE,2
"47",2018-02-16,"2018",3.91144355575,16,TRUE,2
"48",2018-02-17,"2018",3.9482282985,17,TRUE,2
"49",2018-02-18,"2018",3.98501304125,18,TRUE,2
"50",2018-02-19,"2018",4.021797784,19,TRUE,2
"51",2018-02-20,"2018",4.05858252675,20,TRUE,2
"52",2018-02-21,"2018",4.0953672695,21,TRUE,2
"53",2018-02-22,"2018",4.13215201225,22,TRUE,2
"54",2018-02-23,"2018",4.168936755,23,FALSE,2
"55",2018-02-24,"2018",4.29601132054545,24,TRUE,2
"56",2018-02-25,"2018",4.42308588609091,25,TRUE,2
